Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2021-01-01 00:00:00,Italy,Italy,IT,317.69,401.21,38.61,36.51,,false,
2021-01-01 01:00:00,Italy,Italy,IT,320.21,403.67,38.89,37.38,,false,
2021-01-01 02:00:00,Italy,Italy,IT,314.4,397,40.11,37.97,,false,
2021-01-01 03:00:00,Italy,Italy,IT,311.25,393.58,40.54,37.95,,false,
2021-01-01 04:00:00,Italy,Italy,IT,318.99,402.72,39.06,37.57,,false,
2021-01-01 05:00:00,Italy,Italy,IT,316.33,398.69,40.15,37.83,,false,
2021-01-01 06:00:00,Italy,Italy,IT,301.88,380.71,43.39,38.51,,false,
2021-01-01 07:00:00,Italy,Italy,IT,285.4,359.94,47.09,43.65,,false,
2021-01-01 08:00:00,Italy,Italy,IT,271.83,345.08,48.82,46.3,,false,
2021-01-01 09:00:00,Italy,Italy,IT,271.36,345.6,47.93,45.56,,false,
2021-01-01 10:00:00,Italy,Italy,IT,276.64,351.67,46.75,45.2,,false,
2021-01-01 11:00:00,Italy,Italy,IT,276.93,348.65,48.79,47.85,,false,
2021-01-01 12:00:00,Italy,Italy,IT,273.97,345.95,49.03,47.62,,false,
2021-01-01 13:00:00,Italy,Italy,IT,272.05,346.19,47.8,45.23,,false,
2021-01-01 14:00:00,Italy,Italy,IT,280.84,358.27,44.69,41.43,,false,
2021-01-01 15:00:00,Italy,Italy,IT,290.83,370.48,42.17,37.89,,false,
2021-01-01 16:00:00,Italy,Italy,IT,276.92,353.28,44.86,40.1,,false,
2021-01-01 17:00:00,Italy,Italy,IT,268.69,341.78,47.53,42.15,,false,
2021-01-01 18:00:00,Italy,Italy,IT,267.01,339.35,48.19,42.79,,false,
2021-01-01 19:00:00,Italy,Italy,IT,263.49,335.44,48.81,41.99,,false,
2021-01-01 20:00:00,Italy,Italy,IT,274.69,348.78,46.8,41.35,,false,
2021-01-01 21:00:00,Italy,Italy,IT,289.62,367.79,43.38,40.48,,false,
2021-01-01 22:00:00,Italy,Italy,IT,291.93,369.79,43.82,42.15,,false,
2021-01-01 23:00:00,Italy,Italy,IT,297.87,376.32,43.47,42.72,,false,
2021-01-02 00:00:00,Italy,Italy,IT,292.57,369.22,45.38,44.45,,false,
2021-01-02 01:00:00,Italy,Italy,IT,295.89,373.47,44.62,43.77,,false,
2021-01-02 02:00:00,Italy,Italy,IT,293.86,371.4,44.78,43.88,,false,
2021-01-02 03:00:00,Italy,Italy,IT,289.84,367.01,45.23,44.31,,false,
2021-01-02 04:00:00,Italy,Italy,IT,290.68,367.95,44.85,43.91,,false,
2021-01-02 05:00:00,Italy,Italy,IT,283.18,357.47,47.15,43.79,,false,
2021-01-02 06:00:00,Italy,Italy,IT,268.37,338.88,50.46,45.27,,false,
2021-01-02 07:00:00,Italy,Italy,IT,261.22,330.49,51.42,46.18,,false,
2021-01-02 08:00:00,Italy,Italy,IT,251.1,318.72,53.39,48.38,,false,
2021-01-02 09:00:00,Italy,Italy,IT,240.55,306.56,55.08,50.28,,false,
2021-01-02 10:00:00,Italy,Italy,IT,242.71,309.63,54.26,49.85,,false,
2021-01-02 11:00:00,Italy,Italy,IT,247.35,315.68,52.85,49.54,,false,
2021-01-02 12:00:00,Italy,Italy,IT,254.61,325.19,51.06,46.78,,false,
2021-01-02 13:00:00,Italy,Italy,IT,253.14,323.14,51.63,46.52,,false,
2021-01-02 14:00:00,Italy,Italy,IT,256.87,327.53,50.68,44.42,,false,
2021-01-02 15:00:00,Italy,Italy,IT,266.4,337.08,49.63,43.59,,false,
2021-01-02 16:00:00,Italy,Italy,IT,297.59,364.52,49.48,47.22,,false,
2021-01-02 17:00:00,Italy,Italy,IT,290.62,355.41,51.26,48.55,,false,
2021-01-02 18:00:00,Italy,Italy,IT,275.39,340.91,51.89,47.27,,false,
2021-01-02 19:00:00,Italy,Italy,IT,273.41,342.69,49.97,44.03,,false,
2021-01-02 20:00:00,Italy,Italy,IT,292.67,367.68,45.14,40.68,,false,
2021-01-02 21:00:00,Italy,Italy,IT,307.04,386.39,41.45,38.69,,false,
2021-01-02 22:00:00,Italy,Italy,IT,309.75,389.81,41.12,39.76,,false,
2021-01-02 23:00:00,Italy,Italy,IT,305.58,384.92,42.36,40.8,,false,
2021-01-03 00:00:00,Italy,Italy,IT,300.71,378.49,44.02,42.86,,false,
2021-01-03 01:00:00,Italy,Italy,IT,296.74,373.7,45.22,43.96,,false,
2021-01-03 02:00:00,Italy,Italy,IT,308.24,387.4,43.15,42.05,,false,
2021-01-03 03:00:00,Italy,Italy,IT,312.35,392.43,42.27,41.22,,false,
2021-01-03 04:00:00,Italy,Italy,IT,306.53,385.59,43.08,41.96,,false,
2021-01-03 05:00:00,Italy,Italy,IT,297.24,374.63,44.55,42.79,,false,
2021-01-03 06:00:00,Italy,Italy,IT,280.72,354.51,48.11,44.14,,false,
2021-01-03 07:00:00,Italy,Italy,IT,264.44,334.73,51.56,47.15,,false,
2021-01-03 08:00:00,Italy,Italy,IT,256.2,326.37,51.82,48.11,,false,
2021-01-03 09:00:00,Italy,Italy,IT,256.77,328.31,50.89,48.37,,false,
2021-01-03 10:00:00,Italy,Italy,IT,257.61,329.83,50.27,48.7,,false,
2021-01-03 11:00:00,Italy,Italy,IT,258.15,330.24,50.06,49.13,,false,
2021-01-03 12:00:00,Italy,Italy,IT,262.68,335.38,49.62,48.46,,false,
2021-01-03 13:00:00,Italy,Italy,IT,262.92,334.93,50.29,47.27,,false,
2021-01-03 14:00:00,Italy,Italy,IT,280.01,354.61,47.11,43.54,,false,
2021-01-03 15:00:00,Italy,Italy,IT,281.71,355.95,46.71,42.82,,false,
2021-01-03 16:00:00,Italy,Italy,IT,284.11,358.21,46.2,41.12,,false,
2021-01-03 17:00:00,Italy,Italy,IT,286.16,358.51,47.37,42.89,,false,
2021-01-03 18:00:00,Italy,Italy,IT,308.4,379.95,46.29,43.37,,false,
2021-01-03 19:00:00,Italy,Italy,IT,308.16,382.02,44.8,41.77,,false,
2021-01-03 20:00:00,Italy,Italy,IT,298.41,374.37,44.27,40.28,,false,
2021-01-03 21:00:00,Italy,Italy,IT,315.89,396.47,40.26,38.25,,false,
