Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2021-01-01 00:00:00,Italy,North Italy,IT-NO,301.77,389.57,35.44,31.12,entsoe.eu,false,
2021-01-01 01:00:00,Italy,North Italy,IT-NO,300.59,387.45,36.73,33.69,entsoe.eu,false,
2021-01-01 02:00:00,Italy,North Italy,IT-NO,292.22,377.49,38.46,34.18,entsoe.eu,false,
2021-01-01 03:00:00,Italy,North Italy,IT-NO,293.78,380.06,37.49,32.36,entsoe.eu,false,
2021-01-01 04:00:00,Italy,North Italy,IT-NO,305.37,394.17,35.02,32.22,entsoe.eu,false,
2021-01-01 05:00:00,Italy,North Italy,IT-NO,298.48,385.02,36.82,32.39,entsoe.eu,false,
2021-01-01 06:00:00,Italy,North Italy,IT-NO,272.04,351.39,43.13,33.72,entsoe.eu,false,
2021-01-01 07:00:00,Italy,North Italy,IT-NO,261.79,338.2,45.84,39.04,entsoe.eu,false,
2021-01-01 08:00:00,Italy,North Italy,IT-NO,268.07,346.94,43.54,38.52,entsoe.eu,false,
2021-01-01 09:00:00,Italy,North Italy,IT-NO,276.18,357.42,41.01,36.34,entsoe.eu,false,
2021-01-01 10:00:00,Italy,North Italy,IT-NO,291.95,377.14,37.06,33.96,entsoe.eu,false,
2021-01-01 11:00:00,Italy,North Italy,IT-NO,286.13,368.3,39.35,37.46,entsoe.eu,false,
2021-01-01 12:00:00,Italy,North Italy,IT-NO,282.04,363.24,40.73,37.89,entsoe.eu,false,
2021-01-01 13:00:00,Italy,North Italy,IT-NO,279.73,362.09,40.25,35.14,entsoe.eu,false,
2021-01-01 14:00:00,Italy,North Italy,IT-NO,286.83,371.52,37.52,31,entsoe.eu,false,
2021-01-01 15:00:00,Italy,North Italy,IT-NO,272.92,353.6,41.04,32.54,entsoe.eu,false,
2021-01-01 16:00:00,Italy,North Italy,IT-NO,243.71,316.18,47.76,38.42,entsoe.eu,false,
2021-01-01 17:00:00,Italy,North Italy,IT-NO,231.09,298.57,51.88,41.41,entsoe.eu,false,
2021-01-01 18:00:00,Italy,North Italy,IT-NO,236.43,304.75,51.18,40.78,entsoe.eu,false,
2021-01-01 19:00:00,Italy,North Italy,IT-NO,238.28,306.87,51.19,38.06,entsoe.eu,false,
2021-01-01 20:00:00,Italy,North Italy,IT-NO,258.23,331.29,47.04,36.02,entsoe.eu,false,
2021-01-01 21:00:00,Italy,North Italy,IT-NO,281.34,363.3,40.23,34.19,entsoe.eu,false,
2021-01-01 22:00:00,Italy,North Italy,IT-NO,287.52,370.41,39.99,36.53,entsoe.eu,false,
2021-01-01 23:00:00,Italy,North Italy,IT-NO,310.99,398.95,35.45,33.96,entsoe.eu,false,
2021-01-02 00:00:00,Italy,North Italy,IT-NO,303.82,388.91,38.32,36.54,entsoe.eu,false,
2021-01-02 01:00:00,Italy,North Italy,IT-NO,306.78,393.24,37.24,35.67,entsoe.eu,false,
2021-01-02 02:00:00,Italy,North Italy,IT-NO,305.42,391.66,37.29,35.63,entsoe.eu,false,
2021-01-02 03:00:00,Italy,North Italy,IT-NO,302.2,387.92,37.8,36.07,entsoe.eu,false,
2021-01-02 04:00:00,Italy,North Italy,IT-NO,307.24,393.92,36.48,34.7,entsoe.eu,false,
2021-01-02 05:00:00,Italy,North Italy,IT-NO,291.18,373.34,39.8,33.34,entsoe.eu,false,
2021-01-02 06:00:00,Italy,North Italy,IT-NO,267.08,342.74,45.73,35.85,entsoe.eu,false,
2021-01-02 07:00:00,Italy,North Italy,IT-NO,254.22,326.8,48.25,38.15,entsoe.eu,false,
2021-01-02 08:00:00,Italy,North Italy,IT-NO,247.1,317.86,49.98,40.14,entsoe.eu,false,
2021-01-02 09:00:00,Italy,North Italy,IT-NO,242.72,312.89,50.57,41.18,entsoe.eu,false,
2021-01-02 10:00:00,Italy,North Italy,IT-NO,251.66,324.12,48.24,39.64,entsoe.eu,false,
