Datetime (UTC),Country,Zone name,Carbon intensity
2020-01-01 00:00:00,Italy,IT-North,389.98530394121576
2020-01-01 01:00:00,Italy,IT-North,394.29580947423216
2020-01-01 02:00:00,Italy,IT-North,393.4483788395903
2020-01-01 03:00:00,Italy,IT-North,389.85096936510286
2020-01-01 04:00:00,Italy,IT-North,397.57635327635325
2020-01-01 05:00:00,Italy,IT-North,396.44589657110737
2020-01-01 06:00:00,Italy,IT-North,380.4922410177548
2020-01-01 07:00:00,Italy,IT-North,381.05455243949285
2020-01-01 08:00:00,Italy,IT-North,358.39965546942295
2020-01-01 09:00:00,Italy,IT-North,328.41918585616065
2020-01-01 10:00:00,Italy,IT-North,304.7081896126934
2020-01-01 11:00:00,Italy,IT-North,310.7284622731614
2020-01-01 12:00:00,Italy,IT-North,319.81487939552454
2020-01-01 13:00:00,Italy,IT-North,343.9761630946158
2020-01-01 14:00:00,Italy,IT-North,362.7850558507754
2020-01-01 15:00:00,Italy,IT-North,373.90390931242723
2020-01-01 16:00:00,Italy,IT-North,355.7264678471575
2020-01-01 17:00:00,Italy,IT-North,358.45628029079154
2020-01-01 18:00:00,Italy,IT-North,362.677537668517
2020-01-01 19:00:00,Italy,IT-North,360.27883619797063
2020-01-01 20:00:00,Italy,IT-North,372.1894676588438
2020-01-01 21:00:00,Italy,IT-North,383.7144738417336
2020-01-01 22:00:00,Italy,IT-North,388.0864815058576
2020-01-01 23:00:00,Italy,IT-North,380.7778091872791
2020-01-02 00:00:00,Italy,IT-North,385.67533818938597
2020-01-02 01:00:00,Italy,IT-North,390.0233313644418
2020-01-02 02:00:00,Italy,IT-North,389.13473904591
2020-01-02 03:00:00,Italy,IT-North,392.7270854788877
2020-01-02 04:00:00,Italy,IT-North,399.6990494828068
2020-01-02 05:00:00,Italy,IT-North,397.2291502532358
2020-01-02 06:00:00,Italy,IT-North,376.4307677431831
2020-01-02 07:00:00,Italy,IT-North,374.19936735915195
2020-01-02 08:00:00,Italy,IT-North,346.0845048175643
2020-01-02 09:00:00,Italy,IT-North,337.28013982603045
2020-01-02 10:00:00,Italy,IT-North,321.0283096056292
2020-01-02 11:00:00,Italy,IT-North,327.8114417228341
2020-01-02 12:00:00,Italy,IT-North,333.2425721007232
2020-01-02 13:00:00,Italy,IT-North,360.72247030078364
2020-01-02 14:00:00,Italy,IT-North,370.6563662837729
2020-01-02 15:00:00,Italy,IT-North,378.4517766497462
2020-01-02 16:00:00,Italy,IT-North,371.43039144497993
2020-01-02 17:00:00,Italy,IT-North,359.8690306365057
2020-01-02 18:00:00,Italy,IT-North,373.97828827566883
2020-01-02 19:00:00,Italy,IT-North,378.9002080604145
2020-01-02 20:00:00,Italy,IT-North,384.672295602742
2020-01-02 21:00:00,Italy,IT-North,395.2107334869431
2020-01-02 22:00:00,Italy,IT-North,400.66023334423727
2020-01-02 23:00:00,Italy,IT-North,395.121878393051
2020-01-03 00:00:00,Italy,IT-North,396.40540152276964
2020-01-03 01:00:00,Italy,IT-North,393.7203389830508
2020-01-03 02:00:00,Italy,IT-North,393.698705831031
2020-01-03 03:00:00,Italy,IT-North,401.7100281917036
2020-01-03 04:00:00,Italy,IT-North,403.3290094339623
2020-01-03 05:00:00,Italy,IT-North,397.63743004735255
2020-01-03 06:00:00,Italy,IT-North,387.9921536796537
2020-01-03 07:00:00,Italy,IT-North,388.2520400307929
2020-01-03 08:00:00,Italy,IT-North,384.1064259927798
2020-01-03 09:00:00,Italy,IT-North,378.04621525103283
2020-01-03 10:00:00,Italy,IT-North,369.1757011960551
2020-01-03 11:00:00,Italy,IT-North,366.51693290734823
2020-01-03 12:00:00,Italy,IT-North,367.5683091928087
2020-01-03 13:00:00,Italy,IT-North,381.1073825503355
2020-01-03 14:00:00,Italy,IT-North,393.96772602353604
2020-01-03 15:00:00,Italy,IT-North,381.65502240970216
2020-01-03 16:00:00,Italy,IT-North,366.74948101111244
2020-01-03 17:00:00,Italy,IT-North,358.4964673227353
2020-01-03 18:00:00,Italy,IT-North,364.6963115025495
2020-01-03 19:00:00,Italy,IT-North,376.1846993706877
2020-01-03 20:00:00,Italy,IT-North,389.3669312169312
2020-01-03 21:00:00,Italy,IT-North,390.6949888866438
2020-01-03 22:00:00,Italy,IT-North,398.3276123759486
2020-01-03 23:00:00,Italy,IT-North,398.065435568045
2020-01-04 00:00:00,Italy,IT-North,402.4385843164469
2020-01-04 01:00:00,Italy,IT-North,403.78645383951675
2020-01-04 02:00:00,Italy,IT-North,403.9477200116178
2020-01-04 03:00:00,Italy,IT-North,405.0548823948681
2020-01-04 04:00:00,Italy,IT-North,406.70170183798507
2020-01-04 05:00:00,Italy,IT-North,406.62201133842746
2020-01-04 06:00:00,Italy,IT-North,394.45047325555805
2020-01-04 07:00:00,Italy,IT-North,386.30926389584386
2020-01-04 08:00:00,Italy,IT-North,368.2074615811887
2020-01-04 09:00:00,Italy,IT-North,342.00638080653397
2020-01-04 10:00:00,Italy,IT-North,315.9886556498436
2020-01-04 11:00:00,Italy,IT-North,320.7455887648542
2020-01-04 12:00:00,Italy,IT-North,330.78878226031867
2020-01-04 13:00:00,Italy,IT-North,357.65212040893607
2020-01-04 14:00:00,Italy,IT-North,379.0123297205927
2020-01-04 15:00:00,Italy,IT-North,395.6575291720689
2020-01-04 16:00:00,Italy,IT-North,382.31684952978054
2020-01-04 17:00:00,Italy,IT-North,367.85954768352497
2020-01-04 18:00:00,Italy,IT-North,367.916679010517
2020-01-04 19:00:00,Italy,IT-North,372.49684840844634
2020-01-04 20:00:00,Italy,IT-North,385.2392831412105
2020-01-04 21:00:00,Italy,IT-North,393.49700351312254
2020-01-04 22:00:00,Italy,IT-North,368.0658249703248
2020-01-04 23:00:00,Italy,IT-North,356.3818674550382
2020-01-05 00:00:00,Italy,IT-North,387.39921121822954
2020-01-05 01:00:00,Italy,IT-North,390.69487750556794
2020-01-05 02:00:00,Italy,IT-North,389.12660980097
2020-01-05 03:00:00,Italy,IT-North,392.9038335517693
2020-01-05 04:00:00,Italy,IT-North,398.3237533012273
2020-01-05 05:00:00,Italy,IT-North,396.0957259953161
2020-01-05 06:00:00,Italy,IT-North,393.7372205517062
2020-01-05 07:00:00,Italy,IT-North,387.08639334521695
2020-01-05 08:00:00,Italy,IT-North,349.2137548661083
2020-01-05 09:00:00,Italy,IT-North,317.50487908358076
2020-01-05 10:00:00,Italy,IT-North,304.9364927091328
2020-01-05 11:00:00,Italy,IT-North,312.9165251839276
2020-01-05 12:00:00,Italy,IT-North,315.4343525179856
2020-01-05 13:00:00,Italy,IT-North,347.91898266844424
2020-01-05 14:00:00,Italy,IT-North,369.10347078663904
2020-01-05 15:00:00,Italy,IT-North,371.5697292069632
2020-01-05 16:00:00,Italy,IT-North,364.9256700516065
2020-01-05 17:00:00,Italy,IT-North,351.8034154090548
2020-01-05 18:00:00,Italy,IT-North,356.63394749714666
2020-01-05 19:00:00,Italy,IT-North,358.5413374118447
2020-01-05 20:00:00,Italy,IT-North,355.18740190436324
2020-01-05 21:00:00,Italy,IT-North,360.2575442247659
2020-01-05 22:00:00,Italy,IT-North,386.1636257309941
2020-01-05 23:00:00,Italy,IT-North,386.86589886153035
2020-01-06 00:00:00,Italy,IT-North,396.9577867255488
2020-01-06 01:00:00,Italy,IT-North,410.71403083981136
2020-01-06 02:00:00,Italy,IT-North,413.700435594275
2020-01-06 03:00:00,Italy,IT-North,415.05500910746804
2020-01-06 04:00:00,Italy,IT-North,419.0928119608971
2020-01-06 05:00:00,Italy,IT-North,414.35761817347407
2020-01-06 06:00:00,Italy,IT-North,383.2158868942424
2020-01-06 07:00:00,Italy,IT-North,371.9112671560805
2020-01-06 08:00:00,Italy,IT-North,353.94626565640954
2020-01-06 09:00:00,Italy,IT-North,334.5877341167829
2020-01-06 10:00:00,Italy,IT-North,333.0837072349972
2020-01-06 11:00:00,Italy,IT-North,335.26502811013404
2020-01-06 12:00:00,Italy,IT-North,339.1991462941405
2020-01-06 13:00:00,Italy,IT-North,366.557902973396
2020-01-06 14:00:00,Italy,IT-North,371.8780662631411
2020-01-06 15:00:00,Italy,IT-North,358.1342888950738
2020-01-06 16:00:00,Italy,IT-North,364.9792007977777
2020-01-06 17:00:00,Italy,IT-North,366.7963896806257
2020-01-06 18:00:00,Italy,IT-North,369.5014806789454
2020-01-06 19:00:00,Italy,IT-North,376.99157480314966
2020-01-06 20:00:00,Italy,IT-North,382.343282268005
2020-01-06 21:00:00,Italy,IT-North,394.917617866005
2020-01-06 22:00:00,Italy,IT-North,395.66053950823584
2020-01-06 23:00:00,Italy,IT-North,391.54160925874896
2020-01-07 00:00:00,Italy,IT-North,396.73539325842694
2020-01-07 01:00:00,Italy,IT-North,394.68624284246073
2020-01-07 02:00:00,Italy,IT-North,394.4765888742111
2020-01-07 03:00:00,Italy,IT-North,403.39649169791113
2020-01-07 04:00:00,Italy,IT-North,413.5124637681159
2020-01-07 05:00:00,Italy,IT-North,402.9829757049122
2020-01-07 06:00:00,Italy,IT-North,399.96155424818716
2020-01-07 07:00:00,Italy,IT-North,378.29205476377507
2020-01-07 08:00:00,Italy,IT-North,375.02364282636796
2020-01-07 09:00:00,Italy,IT-North,377.340800865801
2020-01-07 10:00:00,Italy,IT-North,385.14868948843343
2020-01-07 11:00:00,Italy,IT-North,387.9228386040802
2020-01-07 12:00:00,Italy,IT-North,391.37830749504604
2020-01-07 13:00:00,Italy,IT-North,387.6786064235166
2020-01-07 14:00:00,Italy,IT-North,378.3607163015035
2020-01-07 15:00:00,Italy,IT-North,384.19485845753724
2020-01-07 16:00:00,Italy,IT-North,369.2142540947322
2020-01-07 17:00:00,Italy,IT-North,367.3210099654051
2020-01-07 18:00:00,Italy,IT-North,377.3440713191862
2020-01-07 19:00:00,Italy,IT-North,386.3463244993404
2020-01-07 20:00:00,Italy,IT-North,388.5792994883904
2020-01-07 21:00:00,Italy,IT-North,404.01023890784984
2020-01-07 22:00:00,Italy,IT-North,409.0001812415044
