episodio;total_cost;total_co2;SOC_finale;battery_use_history;gen_use_history
1;7608.1574;7027.264;0.16746558545450937;0.8411751118895132;9962026.193;9732496.275,
2;7366.2662;6958.817;0.16734964040003997;0.8397650675589293;10046552.051;9214472.468,
3;7138.1452;6866.630;0.16746783058103065;0.8374354964007833;10185454.875;8723570.233,
4;6993.4775;6813.262;0.1672791714781541;0.8360950584542681;10265641.423;8372700.367,
5;7077.1414;6814.449;0.16736638067311319;0.8351131677661314;10324072.682;8590228.423,
6;6952.4542;6776.414;0.1673455233419944;0.8346445731939491;10352028.593;8279989.473,
7;6857.2242;6741.798;0.1675638098681161;0.8344572260555031;10362945.383;7967069.344,
8;6887.4210;6739.729;0.1675328446187937;0.8343842304979994;10367440.767;7972318.174,
9;6803.9721;6717.998;0.16725998530280997;0.8344486038142594;10363980.396;7729231.133,
10;6764.0262;6709.638;0.16725793468652378;0.8344094242145166;10366350.514;7661223.864,
11;6545.8644;6647.125;0.16736199799103121;0.8341290128426034;10382939.847;7038465.007,
12;6645.7053;6668.119;0.1672169158376047;0.8341535435188596;10381705.892;7298494.807,
13;6510.4775;6648.494;0.16717363448500552;0.8342573584197619;10375579.043;7008174.445,
14;6418.6354;6614.204;0.16727840603395466;0.8341059127467498;10384468.972;6680668.809,
15;6235.8427;6555.372;0.16724783987749597;0.833971125000568;10392549.883;6131133.914,
16;6278.4226;6570.121;0.16736486848920928;0.833852630859013;10399484.459;6300437.060,
17;6339.8782;6579.195;0.16704264449439385;0.8336991158931819;10409081.035;6459492.692,
18;6216.0744;6558.242;0.1671014831467727;0.8336560145790537;10411586.854;6212956.069,
19;6151.1594;6538.573;0.16726525072167464;0.8335627057033719;10416948.051;6020343.726,
20;6101.5199;6522.141;0.1671313987047761;0.8335593897897009;10417322.260;5856472.010,
21;6069.4706;6515.111;0.1671787734423225;0.8335617120575527;10417111.131;5766054.374,
22;5945.5145;6475.918;0.16729710835906708;0.8336243430425142;10413229.326;5356861.873,
23;5889.5503;6463.866;0.16732026158987193;0.8336618404301995;10410968.541;5238499.558,
24;5772.3061;6437.195;0.1673475526658655;0.8336585603945248;10411129.046;4938257.488,
25;5784.6861;6427.520;0.167214301429627;0.8335264208415732;10419178.592;4900665.382,
26;5873.9853;6463.122;0.16757744776065733;0.8336170626339059;10413300.473;5213282.129,
27;5837.7101;6453.711;0.16745423431048287;0.8335804279515224;10415653.282;5132209.366,
28;5632.8366;6401.872;0.16738389766108477;0.8334618799071379;10422825.562;4611105.886,
29;5397.2424;6343.500;0.16731178486269285;0.8333687485590242;10428480.011;4004576.605,
30;5274.7835;6311.085;0.16727133145360515;0.8333246083537309;10431155.999;3702600.151,
31;5265.5112;6308.979;0.16721333385323364;0.8332430483622167;10436097.247;3681464.212,
32;5359.1127;6336.707;0.16735548491230745;0.8333164754382066;10431534.637;3943122.313,
33;5428.2303;6355.531;0.16722007248692922;0.8332127411269417;10437902.240;4160311.266,
34;5343.8588;6330.254;0.16726437545690362;0.833115775323499;10443626.311;3924741.849,
35;5140.9527;6289.484;0.16720356944273118;0.8330721245665316;10446316.266;3438089.307,
36;5059.5213;6263.237;0.1673427390274304;0.8329988850867834;10450503.256;3219333.744,
37;5050.9055;6256.665;0.1674233704507815;0.8329593779055464;10452755.480;3136228.990,
38;5029.6654;6243.911;0.16721406025782104;0.832972877794399;10452222.491;3035295.100,
39;5028.5867;6244.324;0.16734129352251761;0.8329506190912614;10453392.477;3043645.477,
40;5066.9228;6250.915;0.16737130964485386;0.8328945896621791;10456691.249;3147212.667,
41;5193.0757;6284.785;0.16719790329742545;0.8328060978083199;10462192.420;3542808.624,
42;5069.1030;6249.494;0.16725743848043348;0.8328204396113199;10461254.909;3165342.870,
43;5111.3224;6260.332;0.16717443957558115;0.8327802704674754;10463757.982;3304541.925,
44;5140.3371;6277.092;0.16745638623266101;0.8327784803544158;10463500.222;3468817.623,
45;5009.4203;6228.863;0.1674182386325851;0.8327454072555854;10465523.272;3005647.821,
46;4926.3139;6205.866;0.16725102600166403;0.8327447861000407;10465783.533;2765972.541,
47;4949.4610;6208.758;0.16719955371942374;0.8327538666799351;10465306.886;2782069.527,
48;4941.6622;6198.290;0.16737356701579648;0.8327847704648497;10463233.253;2688228.523,
49;4903.9780;6190.959;0.1671928516370023;0.8328077664693018;10462095.519;2593779.953,
50;4900.7135;6187.567;0.16730142417724098;0.8328106510413591;10461790.114;2583924.915,
51;4843.3988;6183.600;0.16734594311882547;0.8328087416424849;10461843.142;2482221.644,
52;4805.4836;6169.520;0.16738369651907395;0.8327998588940959;10462329.855;2357990.818,
53;4780.7314;6168.774;0.167203626184103;0.8328139782825597;10461717.105;2303077.337,
54;4792.3871;6165.384;0.16735357348906255;0.8327773826588919;10463702.342;2283541.431,
55;4791.6246;6167.629;0.1673545097861388;0.8327907179862499;10462905.099;2301108.407,
56;4883.5941;6187.253;0.1675372541815612;0.8327952454988238;10462403.501;2534892.840,
57;5012.8800;6219.771;0.16738770841226105;0.8328009010705653;10462257.981;2872808.919,
58;5112.8361;6252.947;0.16728908002387569;0.8328391334866813;10460102.677;3205282.500,
59;5198.3922;6279.673;0.16748603519075275;0.8327783904576849;10463468.354;3470981.605,
60;5253.1166;6297.226;0.1675202487023094;0.8327827176259716;10463174.883;3670427.616,
61;5286.9702;6291.034;0.16732337191651767;0.8327324748064767;10466423.176;3660001.626,
62;5084.5486;6241.866;0.1673511099193601;0.8327267121612307;10466731.286;3148010.253,
63;5087.2071;6244.303;0.1674257150447009;0.8327370133551658;10466017.986;3170495.123,
64;4993.2976;6224.785;0.16737365981513266;0.8327259962889727;10466739.826;2919438.050,
65;4935.8036;6207.208;0.1671306066996516;0.8327146552983982;10467728.782;2760460.101,
66;4828.0111;6178.171;0.16744197634255129;0.8327252602058524;10466696.715;2452574.987,
67;4764.7452;6161.858;0.16730849200991896;0.8327044069293597;10468112.446;2295709.030,
68;4667.4335;6141.285;0.16737408545432644;0.8327353559038126;10466182.280;2066498.676,
