episodio;total_cost;total_co2;SOC_finale;capacity_ratio
1;22670.8783;26607.798;0.4196;0.7000
2;22693.6483;26690.981;0.3903;0.7000
3;22786.4883;26846.064;0.4231;0.7000
4;22722.9984;26759.355;0.4230;0.7000
5;22731.3758;26740.428;0.4484;0.7000
6;22686.1251;26686.714;0.4513;0.7000
7;22630.6094;26595.095;0.4937;0.7000
8;22697.5701;26594.577;0.4822;0.7000
9;22708.4845;26616.131;0.4434;0.7000
10;22838.3155;26677.390;0.4501;0.7000
11;22776.8552;26575.179;0.4616;0.7000
12;22807.6113;26626.968;0.4475;0.7000
13;22817.1272;26593.633;0.4768;0.7000
14;22879.5529;26685.641;0.3950;0.7000
15;23035.2812;26961.227;0.4184;0.7000
16;23033.9266;26948.816;0.4188;0.7000
17;22921.8302;26739.477;0.4363;0.7000
18;23025.8184;26916.074;0.3964;0.7000
19;22982.0235;26900.170;0.4210;0.7000
20;22974.7833;26846.910;0.4310;0.7000
21;22953.5964;26834.714;0.3764;0.7000
22;23026.4475;27026.565;0.3867;0.7035
23;22855.9446;26792.746;0.4015;0.7000
24;22811.6113;26732.201;0.4319;0.7000
25;22780.1554;26641.503;0.4107;0.7000
26;22829.6635;26795.158;0.4176;0.7000
27;22839.7063;26788.218;0.3999;0.7000
28;22815.7610;26731.390;0.4352;0.7000
29;22823.2423;26795.503;0.3633;0.7000
30;22965.9628;27168.165;0.3462;0.7106
31;23038.1385;27233.852;0.3531;0.7141
32;22935.1756;27009.087;0.3879;0.7019
33;22903.6101;26910.229;0.3655;0.7000
34;22941.9656;27021.554;0.3368;0.7033
35;22864.9539;27024.357;0.3504;0.7027
36;22869.0500;27043.002;0.3600;0.7035
37;22927.5116;27065.251;0.3666;0.7047
38;22928.5752;27171.478;0.3155;0.7111
39;22940.6306;27220.310;0.3665;0.7125
40;22900.0014;27177.999;0.3373;0.7110
41;22944.6062;27217.685;0.3533;0.7131
42;22886.3532;27092.377;0.3823;0.7057
43;22816.7785;26829.074;0.4246;0.7000
44;22754.5187;26725.208;0.3706;0.7000
45;22832.4452;26916.858;0.4127;0.7000
46;22741.2007;26809.737;0.4356;0.7000
47;22646.1671;26678.325;0.4286;0.7000
48;22659.3387;26777.786;0.4017;0.7000
49;22688.3985;26847.996;0.3519;0.7000
50;22757.9850;26911.031;0.4027;0.7000
51;22526.7721;26507.614;0.4036;0.7000
52;22529.4638;26550.082;0.4044;0.7000
53;22595.9674;26587.812;0.4053;0.7000
54;22618.3282;26607.791;0.4061;0.7000
55;22628.7976;26677.344;0.3743;0.7000
56;22532.9931;26463.737;0.4113;0.7000
57;22545.1808;26443.664;0.3691;0.7000
58;22712.6897;26831.196;0.3482;0.7000
59;22775.5586;26882.320;0.3607;0.7000
60;22798.8976;26912.122;0.3628;0.7000
61;22761.7424;26807.304;0.3571;0.7000
62;22849.7009;26945.183;0.3586;0.7000
63;22915.3557;27196.650;0.3258;0.7128
64;22931.3410;27148.910;0.3462;0.7102
65;22873.4337;27068.106;0.3591;0.7055
66;22789.7430;26907.173;0.3593;0.7000
67;22810.6681;26920.719;0.3963;0.7000
68;22779.2696;26841.491;0.4157;0.7000
69;22681.3733;26717.849;0.4065;0.7000
70;22734.4045;26827.094;0.3888;0.7000
71;22783.7158;26870.903;0.3752;0.7000
72;22777.3199;26876.781;0.3288;0.7000
73;22931.2725;27163.557;0.3365;0.7114
74;22927.7432;27122.294;0.3612;0.7085
75;22914.5102;27075.406;0.3591;0.7059
76;22854.4111;26900.724;0.4191;0.7000
77;22701.8184;26596.390;0.4373;0.7000
