threshold,battery_capacity,pmaxwind,pmaxsun,costo_euro,co2_kg,SOC_finale,capacity_ratio,sum_curtailment,battery_history
200000,1600000,200000,250000,25798.212,34206.165,0.15,0.7,3398428.766,49187685540.804
200000,1600000,400000,450000,10543.42,15298.162,0.814,0.7,39404280.592,80067132938.13
200000,3200000,200000,250000,24967.249,32944.968,0.15,0.789,76152.189,95874785407.875
200000,3200000,400000,450000,9313.501,12996.669,0.882,0.7,32106035.203,165519396218.895
200000,6400000,200000,250000,24614.463,32577.858,0.15,0.89,0.0,165884107717.923
200000,6400000,400000,450000,7271.373,10101.461,0.731,0.703,23150060.071,379808870317.735
400000,1600000,200000,250000,20753.833,34206.165,0.15,0.7,3398428.766,49187685540.804
400000,1600000,400000,450000,8587.189,15298.162,0.814,0.7,39404280.592,80067132938.13
400000,3200000,200000,250000,20022.877,32944.968,0.15,0.789,76152.189,95874785407.875
400000,3200000,400000,450000,7516.235,12996.669,0.882,0.7,32106035.203,165519396218.895
400000,6400000,200000,250000,19738.889,32577.858,0.15,0.89,0.0,165884107717.923
400000,6400000,400000,450000,5820.304,10101.461,0.731,0.703,23150060.071,379808870317.735
