threshold,battery_capacity,pmaxwind,pmaxsun,costo_euro,co2_kg,SOC_finale,capacity_ratio,sum_curtailment,battery_history,gen_history
200000,1600000,200000,250000,31916.179,37170.614,0.15,0.7,3398428.766,49187685540.804,28553838.548
200000,1600000,400000,450000,13058.658,16476.891,0.814,0.7,39404280.592,80067132938.13,11324514.272
200000,3200000,200000,250000,31008.39,35869.95,0.15,0.789,76152.189,95874785407.875,28013248.827
200000,3200000,400000,450000,11637.594,14094.85,0.882,0.7,32106035.203,165519396218.895,10461649.634
200000,6400000,200000,250000,30619.793,35468.309,0.15,0.89,0.0,165884107717.923,27726363.673
200000,6400000,400000,450000,9133.463,10975.71,0.731,0.703,23150060.071,379808870317.735,8395905.107
400000,1600000,200000,250000,21490.964,34620.04,0.15,0.7,3398428.766,49187685540.804,3802747.274
400000,1600000,400000,450000,8810.809,15453.19,0.814,0.7,39404280.592,80067132938.13,1397987.211
400000,3200000,200000,250000,20742.274,33349.737,0.15,0.789,76152.189,95874785407.875,3676729.6
400000,3200000,400000,450000,7732.301,13144.331,0.882,0.7,32106035.203,165519396218.895,1337556.504
400000,6400000,200000,250000,20456.848,32981.211,0.15,0.89,0.0,165884107717.923,3664992.874
400000,6400000,400000,450000,5982.29,10213.274,0.731,0.703,23150060.071,379808870317.735,1032317.967
