threshold,battery_capacity,pmaxwind,pmaxsun,costo_euro,co2_kg,SOC_finale,capacity_ratio,sum_curtailment,battery_history,E_green_total_Wh,E_from_batt_Wh,E_from_batt_kWh,green_cost_total_euro,green_co2_total_kg,battery_cost_total_euro,battery_co2_total_kg,grid_cost_total_euro,grid_co2_total_kg
200000,1600000,200000,250000,34785.843,40915.412,0.15,0.7,3398428.766,49187678827.934,103372324.621,9526527.128,9526.527,4656.648,4349.467,4330.983,2359.78,25798.212,34206.165
200000,1600000,400000,450000,24145.344,26314.521,0.814,0.7,39404280.592,80067126144.851,196309545.19,20522170.227,20522.17,8791.541,8177.18,4810.383,2839.18,10543.42,15298.162
200000,3200000,200000,250000,34092.284,39791.619,0.15,0.789,76152.189,95874771130.955,103372324.621,13074441.232,13074.441,4656.648,4349.467,4468.387,2497.184,24967.249,32944.968
200000,3200000,400000,450000,23187.735,24285.339,0.882,0.7,32106035.203,165519380724.153,196309545.19,26839430.107,26839.43,8791.541,8177.18,5082.693,3111.49,9313.501,12996.669
200000,6400000,200000,250000,33763.461,39448.473,0.15,0.89,0.0,165884081223.717,103372324.621,14196466.571,14196.467,4656.648,4349.467,4492.35,2521.148,24614.463,32577.858
200000,6400000,400000,450000,21490.932,21735.456,0.731,0.703,23150060.071,379808831025.567,196309545.19,35149734.538,35149.735,8791.541,8177.18,5428.018,3456.816,7271.373,10101.461
400000,1600000,200000,250000,29741.464,40915.412,0.15,0.7,3398428.766,49187678827.934,103372324.621,9526527.128,9526.527,4656.648,4349.467,4330.983,2359.78,20753.833,34206.165
400000,1600000,400000,450000,22189.113,26314.521,0.814,0.7,39404280.592,80067126144.851,196309545.19,20522170.227,20522.17,8791.541,8177.18,4810.383,2839.18,8587.189,15298.162
400000,3200000,200000,250000,29147.912,39791.619,0.15,0.789,76152.189,95874771130.955,103372324.621,13074441.232,13074.441,4656.648,4349.467,4468.387,2497.184,20022.877,32944.968
400000,3200000,400000,450000,21390.469,24285.339,0.882,0.7,32106035.203,165519380724.153,196309545.19,26839430.107,26839.43,8791.541,8177.18,5082.693,3111.49,7516.235,12996.669
400000,6400000,200000,250000,28887.887,39448.473,0.15,0.89,0.0,165884081223.717,103372324.621,14196466.571,14196.467,4656.648,4349.467,4492.35,2521.148,19738.889,32577.858
400000,6400000,400000,450000,20039.864,21735.456,0.731,0.703,23150060.071,379808831025.567,196309545.19,35149734.538,35149.735,8791.541,8177.18,5428.018,3456.816,5820.304,10101.461
