threshold,battery_capacity,pmaxwind,pmaxsun,costo_euro,co2_kg,green_energy_total_Wh,green_cost_total_euro,green_co2_total_kg,battery_cost_total_euro,battery_co2_total_kg,grid_cost_total_euro,grid_co2_total_kg,generator_cost_total_euro,generator_co2_total_kg,E_from_grid_Wh,E_from_gen_Wh,E_from_batt_Wh,E_to_batt_Wh,SOC_finale,capacity_ratio,sum_curtailment_Wh,battery_use_history_Wh,gen_use_history_Wh
200000,1600000,200000,250000,40903.81,43879.862,103372324.621,4656.648,4349.467,4330.983,2359.78,14070.03,24321.387,17846.149,12849.227,70145750.789,28553838.548,9526527.128,9902369.82,0.15,0.7,3398428.766,9526527.128,28553838.548
200000,1600000,400000,450000,26660.582,27493.251,196309545.19,8791.541,8177.18,4810.383,2839.18,5980.837,11380.859,7077.821,5096.031,32422415.91,11324514.272,20522170.227,22876722.507,0.814,0.7,39404280.592,20522170.227,11324514.272
200000,3200000,200000,250000,40133.425,42716.602,103372324.621,4656.648,4349.467,4468.387,2497.184,13500.11,23263.988,17508.281,12605.962,67138426.405,28013248.827,13074441.232,13224646.397,0.15,0.789,76152.189,13074441.232,28013248.827
200000,3200000,400000,450000,25511.828,25383.52,196309545.19,8791.541,8177.18,5082.693,3111.49,5099.063,9387.108,6538.531,4707.742,26968020.669,10461649.634,26839430.107,30174967.896,0.882,0.7,32106035.203,26839430.107,10461649.634
200000,6400000,200000,250000,39768.791,42338.925,103372324.621,4656.648,4349.467,4492.35,2521.148,13290.816,22991.446,17328.977,12476.864,66303286.22,27726363.673,14196466.571,13300798.586,0.15,0.89,0.0,14196466.571,27726363.673
200000,6400000,400000,450000,23353.023,22609.705,196309545.19,8791.541,8177.18,5428.018,3456.816,3886.023,7197.552,5247.441,3778.157,20723460.765,8395905.107,35149734.538,39130943.028,0.731,0.703,23150060.071,35149734.538,8395905.107
400000,1600000,200000,250000,30478.595,41329.287,103372324.621,4656.648,4349.467,4330.983,2359.78,19114.247,32908.803,2376.717,1711.236,94896842.063,3802747.274,9526527.128,9902369.82,0.15,0.7,3398428.766,9526527.128,3802747.274
400000,1600000,400000,450000,22412.733,26469.55,196309545.19,8791.541,8177.18,4810.383,2839.18,7937.067,14824.096,873.742,629.094,42348942.97,1397987.211,20522170.227,22876722.507,0.814,0.7,39404280.592,20522170.227,1397987.211
400000,3200000,200000,250000,29867.309,40196.388,103372324.621,4656.648,4349.467,4468.387,2497.184,18444.318,31695.208,2297.956,1654.528,91474945.632,3676729.6,13074441.232,13224646.397,0.15,0.789,76152.189,13074441.232,3676729.6
400000,3200000,400000,450000,21606.535,24433.0,196309545.19,8791.541,8177.18,5082.693,3111.49,6896.329,12542.43,835.973,601.9,36092113.798,1337556.504,26839430.107,30174967.896,0.882,0.7,32106035.203,26839430.107,1337556.504
400000,6400000,200000,250000,29605.846,39851.826,103372324.621,4656.648,4349.467,4492.35,2521.148,18166.227,31331.964,2290.621,1649.247,90364657.02,3664992.874,14196466.571,13300798.586,0.15,0.89,0.0,14196466.571,3664992.874
400000,6400000,400000,450000,20201.849,21847.269,196309545.19,8791.541,8177.18,5428.018,3456.816,5337.091,9748.73,645.199,464.543,28087047.904,1032317.967,35149734.538,39130943.028,0.731,0.703,23150060.071,35149734.538,1032317.967
